"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 29-May-2023"
"NIFTY 50","22,762.75","22,825.50","22,705.60","22,888.15","22,781.80","-106.35","-0.46","15,95,79,907","15,352.36","23,110.80","18,478.40","2.09","23.06"
"HINDALCO","695.00","713.50","682.30","681.30","710.00","28.70","4.21","1,59,80,501","1,115.28","713.50","404.35","4.93","62.25"
"ADANIENT","3,250.00","3,306.75","3,212.00","3,244.05","3,302.40","58.35","1.80","11,85,452","386.87","3,457.85","2,142.00","5.31","28.02"
"ADANIPORTS","1,406.00","1,424.95","1,382.90","1,400.50","1,424.95","24.45","1.75","21,82,483","306.32","1,457.05","703.00","5.73","89.90"
"SUNPHARMA","1,468.10","1,492.70","1,465.65","1,464.90","1,489.40","24.50","1.67","14,99,102","221.51","1,638.85","946.40","-2.76","51.26"
"NESTLEIND","2,447.70","2,492.00","2,445.00","2,451.70","2,491.50","39.80","1.62","4,37,152","108.07","2,769.30","2,145.00","-1.25","-88.72"
"POWERGRID","309.10","318.70","309.10","312.80","317.45","4.65","1.49","1,07,90,521","340.31","327.75","172.50","7.03","33.39"
"DIVISLAB","4,360.00","4,435.90","4,355.55","4,392.10","4,430.70","38.60","0.88","7,20,203","317.20","4,435.90","3,295.30","9.36","26.29"
"GRASIM","2,440.00","2,460.00","2,416.55","2,440.35","2,459.00","18.65","0.76","5,76,086","140.75","2,489.75","1,676.10","4.18","42.44"
"CIPLA","1,475.25","1,491.60","1,472.60","1,479.45","1,490.35","10.90","0.74","7,98,556","118.37","1,519.00","942.30","4.99","54.71"
"DRREDDY","5,985.00","6,004.90","5,914.60","5,965.30","5,999.75","34.45","0.58","2,96,698","176.91","6,505.90","4,480.95","-4.59","30.93"
"ITC","425.50","431.80","425.50","429.00","431.05","2.05","0.48","68,92,736","295.96","499.70","399.35","-2.50","-4.48"
"APOLLOHOSP","5,909.90","5,938.80","5,880.90","5,904.50","5,929.00","24.50","0.41","1,45,294","85.91","6,874.45","4,525.00","-5.66","27.24"
"ASIANPAINT","2,896.00","2,919.45","2,881.10","2,911.20","2,919.40","8.20","0.28","9,75,626","283.31","3,568.00","2,670.10","2.36","-7.21"
"JSWSTEEL","899.60","910.00","896.45","907.35","909.60","2.25","0.25","10,65,318","96.21","928.95","691.00","2.27","29.22"
"BAJAJ-AUTO","8,950.00","9,020.00","8,902.75","8,989.75","9,010.85","21.10","0.23","1,26,295","113.08","9,357.95","4,541.00","0.17","94.65"
"BHARTIARTL","1,355.50","1,390.25","1,355.50","1,371.05","1,374.15","3.10","0.23","27,07,574","372.27","1,407.00","812.80","3.40","66.95"
"TITAN","3,405.35","3,418.00","3,387.20","3,409.40","3,417.05","7.65","0.22","2,38,739","81.25","3,886.95","2,745.00","-4.89","21.23"
"TATAMOTORS","946.95","949.95","938.80","947.55","949.65","2.10","0.22","52,08,972","491.34","1,065.60","516.40","-5.20","81.71"
"EICHERMOT","4,746.00","4,808.85","4,724.25","4,770.95","4,781.00","10.05","0.21","3,09,016","147.51","4,908.00","3,160.00","3.69","28.55"
"COALINDIA","482.10","491.90","482.10","487.65","488.35","0.70","0.14","54,19,955","264.37","507.35","223.25","6.99","98.15"
"HCLTECH","1,366.00","1,366.60","1,351.90","1,358.40","1,360.00","1.60","0.12","23,56,737","319.94","1,697.35","1,087.05","-7.83","20.62"
"BRITANNIA","5,202.00","5,268.00","5,200.00","5,250.55","5,254.00","3.45","0.07","1,74,275","91.19","5,386.05","4,347.70","9.38","14.76"
"LTIM","4,885.00","4,892.90","4,830.05","4,885.95","4,888.25","2.30","0.05","1,27,929","62.34","6,442.00","4,565.50","2.04","-2.06"
"TATASTEEL","174.75","176.00","173.50","174.90","174.90","-","-","2,31,23,861","403.65","177.70","105.60","5.49","61.27"
"BAJFINANCE","6,878.00","6,908.00","6,846.20","6,873.05","6,868.65","-4.40","-0.06","4,34,485","298.68","8,192.00","6,187.80","2.11","-0.85"
"MARUTI","12,818.00","12,850.05","12,750.00","12,818.60","12,802.60","-16.00","-0.12","2,46,893","315.91","13,073.95","9,222.00","0.91","37.34"
"HEROMOTOCO","5,171.05","5,202.15","5,119.05","5,183.95","5,174.00","-9.95","-0.19","2,20,833","113.96","5,225.00","2,736.05","15.41","86.68"
"TCS","3,848.90","3,848.90","3,812.80","3,839.90","3,827.90","-12.00","-0.31","7,65,088","292.70","4,254.75","3,156.00","0.49","15.65"
